,1,2,3,4,5,6
1,0.993,0.857,0.693,0.407,0.243,0.157
2,0.943,0.636,0.457,0.207,0.093,0.036
3,0.85,0.529,0.257,0.121,0.079,0.029
4,0.793,0.471,0.15,0.093,0.021,0.007
5,0.643,0.336,0.064,0.05,0.021,0
6,0.629,0.3,0.1,0.021,0.014,0.007
7,0.607,0.193,0.071,0.021,0.007,0.007
8,0.486,0.093,0.057,0.036,0.021,0.007
9,0.514,0.05,0.029,0.007,0,0
10,0.393,0.164,0.057,0.007,0,0
11,0.371,0.157,0.057,0.029,0,0
12,0.357,0.15,0.007,0,0,0
13,0.207,0.043,0,0,0,0
14,0.15,0.014,0,0,0,0
15,0.057,0.007,0,0,0,0
16,0.007,0,0,0,0,0
